6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
10 10 10 10 10 6 6 10 10 10 6 10 10 10 10 10 6 6 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
0 0 0 0 0 6 6 0 0 0 6 0 0 0 0 0 0 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 0 0 0 0 0 0
0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 6 6 0 0 6 0 0 6 0 6 0 0 0 6 6 6 6 6 6 6 6 6 6 6 6 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 6 6 6 6 0 0 6 6 6 6 6 6
0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 6 0 0 6 6 0 0 0 0 6 0 0 0 0 0 0 0 0 0 6 6 0 0 6 6 6 6 6 6 6
0 0 0 0 0 6 0 0 0 6 6 6 0 0 0 0 0 6 6 6 6 6 6 6 6 6 0 0 0 6 6 6 6 6 6 6 6 0 0 0 0 0 6 6 6 6 6 6 6 6
0 0 0 0 6 6 0 0 6 6 6 6 6 0 0 0 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 0 0 0 0 6 6 6 6 6 6 6 6
2 2 2 2 6 6 2 2 6 6 6 6 6 2 2 2 2 2 2 2 2 6 6 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
