0 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 -1 -1 -1 32 33 33 33 33 33 33 33 33 33 33 33 34 -1 -1 -1 
14 15 47 47 47 40 47 47 47 40 47 47 47 47 47 40 47 47 47 47 8 8 8 8 15 15 15 15 15 40 15 15 15 15 -1 -1 -1 46 47 47 47 47 47 47 47 47 40 47 47 48 -1 -1 -1 
-1 -1 -1 -1 -1 17 -1 -1 -1 17 -1 -1 -1 -1 -1 17 -1 -1 -1 -1 7 8 8 9 -1 -1 -1 -1 -1 10 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 17 -1 -1 -1 -1 -1 -1 
-1 -1 -1 -1 -1 -1 -1 3 -1 -1 -1 3 -1 3 -1 -1 -1 -1 -1 -1 14 15 15 16 -1 -1 -1 -1 -1 17 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 3 -1 -1 -1 3 -1 -1 -1 -1 
0 33 33 33 33 33 33 40 33 33 33 40 33 40 33 2 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 21 22 22 22 22 22 23 -1 21 22 40 22 22 22 40 23 -1 -1 -1 
14 15 15 15 15 15 15 15 40 15 15 15 40 15 40 16 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 17 -1 -1 -1 17 -1 -1 -1 -1 
-1 -1 -1 -1 -1 -1 -1 -1 17 -1 -1 -1 17 -1 17 -1 -1 -1 -1 -1 0 1 1 2 -1 -1 -1 -1 -1 3 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 3 -1 -1 -1 -1 -1 -1 
-1 -1 -1 -1 3 -1 3 -1 -1 -1 3 -1 -1 -1 -1 -1 -1 -1 -1 -1 7 40 40 9 -1 -1 -1 -1 -1 10 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 1 1 1 1 1 1 40 1 1 2 -1 -1 -1 
0 1 1 1 40 1 40 1 1 1 40 1 1 1 1 1 1 1 1 1 40 40 40 40 1 1 1 1 1 40 1 1 1 2 -1 -1 -1 -1 -1 7 8 8 8 8 8 8 8 8 8 9 -1 -1 -1 
14 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 16 17 14 15 15 16 -1 -1 -1 -1 -1 14 15 15 15 15 15 15 15 15 15 16 -1 -1 -1 
