0 1 1 1 1 1 1 1 30 23 -1 -1 -1 -1 21 31 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 30 22 22 33 22 33 22 22 22 33 22 22 22 31 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
7 8 8 8 8 8 8 4 16 -1 -1 -1 -1 -1 -1 14 5 8 8 8 8 8 8 8 8 8 8 8 8 4 15 15 27 15 15 27 15 15 27 15 15 27 15 15 5 4 15 15 15 15 15 15 5 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 4 16 -1 -1 17 -1 17 -1 -1 -1 17 -1 -1 -1 28 15 15 27 15 15 27 15 15 15 27 15 15 15 27 15 15 15
7 8 8 8 8 8 4 16 -1 -1 -1 -1 -1 -1 -1 -1 14 15 15 15 15 27 15 15 15 27 15 27 15 16 -1 -1 10 -1 -1 10 -1 -1 10 -1 -1 17 -1 -1 28 16 -1 -1 -1 -1 -1 -1 14 15 15 15 5 8 8 8 8 8 8 8 8 8 8 4 16 -1 -1 -1 -1 -1 -1 -1 3 -1 -1 -1 -1 -1 10 -1 -1 10 -1 -1 10 -1 -1 -1 17 -1 -1 -1 17 -1 -1 -1
14 15 15 15 15 15 16 -1 -1 -1 0 1 1 2 -1 -1 -1 -1 -1 -1 -1 17 -1 -1 -1 17 -1 17 -1 -1 -1 -1 17 -1 -1 10 -1 -1 17 -1 -1 -1 -1 -1 17 -1 -1 0 1 1 2 -1 -1 -1 -1 -1 14 15 15 15 15 15 15 27 15 15 15 29 -1 -1 -1 0 1 1 1 1 6 1 1 2 -1 -1 10 -1 -1 17 -1 -1 10 -1 -1 -1 -1 -1 3 -1 -1 -1 3 -1
-1 -1 -1 -1 -1 -1 -1 -1 -1 0 12 8 8 11 2 -1 -1 -1 -1 -1 -1 -1 -1 3 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 17 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 12 8 8 11 1 1 1 2 -1 -1 -1 -1 -1 -1 -1 -1 17 -1 -1 -1 17 -1 -1 0 8 8 8 8 8 8 8 8 9 -1 -1 17 -1 -1 -1 -1 -1 17 -1 -1 0 1 1 6 1 1 1 6 1
-1 -1 -1 -1 -1 -1 -1 -1 0 12 8 8 8 8 11 2 -1 -1 -1 22 22 33 22 47 33 22 33 22 22 22 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 3 -1 -1 -1 0 12 8 8 8 8 8 8 8 11 1 1 1 2 -1 3 -1 -1 -1 -1 3 -1 -1 -1 0 8 8 8 8 8 8 8 8 8 9 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 28 15 27 15 15 15 27 15 15
0 1 1 1 1 1 1 1 12 8 8 8 8 8 8 11 2 -1 -1 -1 -1 17 -1 -1 17 -1 17 -1 -1 -1 -1 -1 3 -1 -1 -1 -1 -1 3 -1 -1 10 -1 -1 0 12 8 8 8 8 8 8 8 8 8 8 8 8 11 1 6 1 1 1 1 6 1 1 1 8 8 8 8 8 8 8 8 8 8 9 -1 -1 -1 -1 -1 3 -1 -1 -1 -1 -1 17 -1 17 -1 -1 -1 17 -1 -1
7 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 11 2 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 10 -1 -1 3 -1 -1 10 -1 -1 10 -1 -1 7 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 -1 -1 -1 -1 -1 10 -1 -1 3 -1 -1 -1 -1 -1 -1 3 -1 -1 -1 3
7 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 11 2 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 1 6 1 1 6 1 1 6 1 1 6 1 1 12 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 11 1 1 1 1 1 6 1 1 6 1 1 1 1 1 1 6 1 1 1 6
14 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 16 -1 -1 22 22 -1 22 22 22 -1 -1 -1 14 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15
