-1 -1 -1 -1 -1 -1 -1 -1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 1 1 1 2 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
-1 -1 -1 -1 -1 -1 -1 0 12 4 15 15 15 15 15 15 27 15 15 15 27 15 27 15 15 44 2 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 22 22 -1 -1 -1 -1 -1 -1 -1 -1 0 45 15 15 15 44 2 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 14 15 27 15 15 27 15 15 15 15 5 8 8 8 8 8 8
1 1 1 1 1 1 1 12 8 9 -1 -1 -1 -1 -1 -1 17 -1 -1 -1 17 -1 17 -1 -1 14 44 2 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 22 22 -1 -1 -1 -1 -1 -1 22 22 -1 -1 0 1 45 16 -1 -1 -1 14 44 1 30 22 22 22 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 17 -1 -1 10 -1 -1 -1 -1 14 5 8 4 15 15 15
15 15 15 15 15 15 15 15 15 16 -1 -1 3 -1 3 -1 -1 -1 3 -1 -1 -1 -1 -1 -1 -1 14 44 1 1 1 1 1 30 22 22 22 34 -1 -1 -1 -1 -1 -1 -1 22 22 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 14 15 16 -1 -1 3 -1 -1 14 5 9 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 17 -1 -1 -1 -1 -1 14 27 16 -1 -1 -1
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 6 1 6 1 1 1 6 1 1 1 1 2 -1 -1 -1 14 15 15 15 15 15 29 -1 -1 -1 10 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 32 47 34 -1 -1 14 29 -1 32 22 22 34 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 3 -1 -1 17 -1 -1 32 22
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 14 27 15 15 15 27 15 15 15 15 15 27 16 -1 -1 -1 -1 -1 -1 -1 -1 -1 17 -1 3 -1 17 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 22 22 -1 -1 22 22 -1 -1 -1 -1 -1 21 22 22 48 -1 46 34 -1 -1 17 -1 10 -1 -1 46 22 22 34 -1 -1 -1 -1 -1 3 -1 -1 -1 -1 -1 -1 35 2 -1 -1 -1 32 48 -1
1 1 1 1 1 1 1 1 1 2 -1 -1 17 -1 -1 -1 17 -1 -1 -1 -1 -1 17 -1 -1 -1 0 1 1 1 1 2 -1 -1 -1 10 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 22 22 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 22 22 -1 -1 -1 -1 -1 -1 -1 46 34 -1 -1 -1 10 -1 -1 -1 -1 -1 46 22 22 23 -1 -1 10 -1 -1 3 -1 -1 -1 7 11 1 1 30 48 -1 -1
15 15 15 15 15 15 15 5 8 9 -1 -1 -1 -1 3 -1 -1 -1 3 -1 3 -1 -1 -1 -1 0 45 15 15 15 15 37 22 22 22 47 22 22 22 22 22 22 22 23 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 46 22 22 22 48 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 1 6 1 1 6 1 1 1 12 8 8 4 16 -1 -1 -1
-1 -1 -1 -1 -1 -1 -1 14 5 11 1 1 1 1 6 1 1 1 6 1 6 1 1 1 1 45 16 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 7 8 8 8 8 8 8 8 8 8 8 4 16 -1 -1 -1 -1
-1 -1 -1 -1 -1 -1 -1 -1 14 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 16 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 14 15 15 15 15 15 15 15 15 15 15 16 -1 -1 -1 -1 -1
